public_client_id	MEplum1	MEdarkviolet	MEpink4	MElavenderblush3	MEbrown2	MEorange	MEorangered1	MEmediumpurple2	MEdarkorange	MElightsteelblue1	MEpaleturquoise	MEplum2	MEdarkseagreen4	MEcoral1	MEplum3	MEfirebrick3	MEsalmon2	MEtan	MElightslateblue	MEbisque4	MEhoneydew1	MEroyalblue	MEcoral3	MElightcyan	MEblue2	MEcoral	MEmediumpurple4	MElightblue4	MEorangered3	MEgreen	MEblue	MEdarkslateblue	MEmagenta4	MEdarkgreen	MEnavajowhite1	MEindianred3	MEthistle1	MEpalevioletred2	MEyellowgreen
01899508	-0.03778722885709908	-0.05758108905954243	-0.46520712473528814	-0.01298863674002927	-0.01085815707536138	-0.027112241408372244	-0.13603751447209356	-0.16340889513366233	-0.07944822673124699	-0.13521507359128976	0.06776834592799741	-0.001579710377638638	-0.032236118671614106	-0.031148084259874687	-0.07761505186109965	-0.06255264100711712	-0.13901650871447857	-0.0280338694819926	0.3145268266827215	-1.423710353129904e-4	0.026696406384292964	-0.011684110887950315	-0.02674582278216008	-0.036732092067516924	0.007621667817574439	-0.017763220529856353	-0.056765783413041525	0.02747728245999336	0.006506445008331827	-0.04834579714323707	-0.013537545025764269	-0.01566865024086055	-0.10517475212795287	-0.004560114107322812	-0.28561251707406443	0.7649272459288707	0.03432842512674377	1.7878418250386594	-0.004918982749774727
01901082	0.03714144030831794	0.02003907678584777	0.37793807226870646	0.02042543757471621	0.018950541477343718	0.004566021837887741	0.5815553728491364	-0.06932754034868568	-0.01820157161178567	0.02294891372826926	0.12949499778070359	0.010512850914362545	8.095184960636036e-4	0.04985967323096198	0.1475089126496307	-0.058450380289312195	-0.039893930974074045	1.8570535352465008e-4	-0.23278563785222667	-0.006302300663637376	0.03738754770756818	-0.014066756874694462	0.005899771438778327	-0.032837680133526156	-0.028578783728743246	-0.03965903757997416	-0.2790531952719322	0.0030509665513728376	0.03128950012988007	-0.03140031503502732	0.015717137094937935	-0.05739507099626659	-0.08835269618707231	-0.01929246177855997	-0.2607505983824319	0.3437767525794763	0.0013577383000070277	0.19260583442148174	0.03854462195731854
01902049	-0.0294157463508592	0.0011097198397845116	-0.18876125771801938	-0.03168244995930622	-0.003438262496820867	-0.029592647508093383	-0.23207966874428243	-0.10749704809072641	-0.03335172682562259	-0.03611458325427565	-0.06539201074091885	-0.031149826852047844	-0.018801895604605098	0.04527013783408055	0.10876472663306898	-0.06005470361087242	-0.18550291910607764	-0.020095165864961996	-0.2138716684460163	-0.01903666649243213	-0.016365156576722155	0.04645384510136729	-0.006796141378389981	-0.005835960047948393	0.003948231129522422	-0.0018076043143599107	-0.20891228896593497	0.005320594894199812	0.045724903453560735	-9.123756736417539e-4	-0.028604303624636923	-0.032144838755412866	-0.18526647274195013	-0.011996965035799615	0.11195627285503662	-0.2115897989567589	0.024354212730305795	0.3579740806066857	-0.015758821982247012
01903340	-0.05663539010867662	-0.016194817399023575	-0.3657932779978187	0.013828578874516986	0.004099719004452054	-0.004326861624035677	0.05163615173867481	-0.11479259226395702	0.01805643762836305	0.014876145292472914	-0.006999907748932438	-0.019993649788337373	-0.03569625902721513	-0.03042176709078356	-0.1388636219341425	-0.04794160595351752	-0.19038298647278631	-0.022442237062136505	-0.25601674119480194	0.01476739080039013	-0.002593232139813353	-0.012989206509921084	0.010113326766003867	-0.011657807109156081	0.019899862542829307	0.019276823524800816	0.005102239126108066	-0.0013700705914980425	0.044320170199662896	-0.02929054214958942	-0.0539492908858202	0.08210249220822134	0.5771517220354937	-0.016557425867541373	-0.24226022635210048	-0.30030474412418295	0.0027810889680463806	-0.06429139627083828	-0.014102975593744783
01903562	-0.06066211043592015	0.003612186413532341	-0.37971945283279285	-0.005775240460535661	0.011935632935524848	-0.013971679564789717	-0.004913605656922171	-0.12421233737702404	-0.03720484176731568	-0.025961775845656364	-0.07685438306322663	-0.02170129934240641	0.0459676241155937	0.04914557045660167	-0.13196258721433554	-0.0592609026097318	-0.05979886147736533	0.03978463786374512	0.01646104217645374	-0.0010125796845164262	0.047124376422608236	-0.005808163064814325	0.017349871526792838	0.03203996225976714	0.09192792501286351	-0.009077976307854757	-0.011059496327959216	-0.027823699767153067	0.029540166022093625	0.022203744620197953	-0.04493591699771885	-0.19447371173341738	-0.14132867609069405	-0.005012205910613808	-0.015502167203743911	-0.5856444059538437	9.523219936505723e-4	0.2572396252626724	-0.029465878730574813
01905229	-0.04446986412084191	-0.028996304475512248	6.611556177309984e-4	0.029636913898779878	0.002592656723103947	-0.03764488947660765	-0.25862341531052435	-0.10443700880689241	-0.034987223136355376	-0.11685436500815524	-0.128753710420933	0.021130013675442032	-0.014407130076467297	-0.018645930474599757	0.1901994765590078	-0.05755709468942083	-0.12171073934841392	0.025380612743099145	0.3196714822958567	9.632138068848294e-4	-0.030511172234101068	-0.018296569078008078	0.07121810844771641	-0.011352531235489195	0.018999178216679645	0.07495964582761055	1.8516972270528989	0.05120362098934923	0.0020444892213366205	-0.08925704032913527	6.717972062273928e-4	-0.03941479476640413	-0.18198024011312808	0.03360558472366811	0.7609609438223727	0.3808620524423024	-0.006783066088119283	-0.3399947592260819	-0.05345835753389501
01905932	-0.013022341195927456	-0.03936895305465546	-0.4980866150067472	-0.004158172041626386	-0.006532603533463386	-0.03972341156532493	-0.21237926170516744	-0.12096435345280038	0.02762936346849311	0.42463488572580055	0.054959132906811	-0.027322095563574973	-0.03241052193858669	-0.024150112880612546	0.03130827510160719	-0.05969617527279454	-0.03301170680615777	-0.011276990746375287	0.6678308589214939	-0.008024737121896884	0.010256690442475219	-0.009655522468638687	-0.01663101933144528	-0.0026357485126886223	-0.02804958751634346	-0.00936149172702637	-0.2942925252828541	-0.01717985850444428	-0.0032781597028836455	-0.0020447667670003386	-0.03628597164480495	-0.1366181990893327	-0.17761836269826287	-0.019812630153415323	-0.2466686434113472	-0.9181085493009833	-0.0023354472005039117	0.04879790129777938	-0.049078407063561064
01908682	-0.023076590344996248	0.06345125882774878	-0.017138499995021386	0.22732002249506683	0.029437186528074994	-0.03140312060897947	-0.19097516392115546	-0.14388717730724826	-0.060913984287296184	0.20152104965783782	-0.06326070677217993	-0.009214626203286662	-0.020771376480405754	-0.0426612602779791	0.10758502429429824	NA	-0.1669340491235901	-0.012553150041504603	-0.7351522217526183	0.012114091972941722	-0.031086083733649763	-1.2884554633929243e-4	0.018358800310302556	-0.004670059083087217	0.0018578347740782711	0.018090551678803253	-0.190892161066826	-0.010551890748270615	0.009080505382422907	-0.019489967653876363	-0.040011332033489555	-0.039598740223923706	-0.21609267559413387	-0.016698464462465312	-0.19294616519473032	0.026392398525014113	-0.008104785442738446	-0.3309919394480532	-0.058998322803133794
01909024	-0.04586052510021808	0.06647158350183581	0.8717384126533015	-0.05905086541613847	-3.431346697028476e-4	-0.020353596448203514	0.4518530853712816	0.6890078300084825	0.11155310737146293	0.07184526503095938	-0.08865468337320577	0.026269352612880027	0.039998215379914166	0.0783691449833512	-0.06542876486475517	0.001753514018599139	-0.05563414448487191	0.02427163168213155	0.680637280798902	-0.00945682006954836	0.011663023664041431	0.004388734585638643	0.07989220304312693	0.030139801349499076	0.0456254491255577	0.043704018016536395	0.7579218371634866	0.049589533300099894	-0.0030121502278913324	-0.03903988659728352	0.010745100895367465	0.1155715365339003	NA	-0.002864896764779821	-0.06314967421777137	0.4787845511187451	0.04441929436449476	0.15581793148885423	0.061953491247769735
01909625	-0.1603839307597132	-3.885524254277978e-4	-0.5103714552683969	0.015369063493853844	0.0175803111543263	-0.0011026582939303628	0.1454550159711146	-0.15300886308290532	-0.04537091262559899	-0.10354088316355062	-0.003789776736733828	0.018763057395573962	0.04143144658192343	-0.010619203515095321	0.2069565348501632	-0.06138784907802648	-0.174113622937494	0.05021576698074348	-0.026256821318877275	9.23834272758725e-4	0.08171296260153169	-0.014791188712205144	-0.028212588460684484	-0.051399568535263125	-0.0061102705103148955	-0.040413761995183053	-0.4544992535715718	0.028410046999981602	-9.686729469688625e-4	-0.025768558095348917	-0.03198067252237524	0.048674298130907366	-0.1630237829701866	0.0023748115751853717	0.10013942322798447	-0.1345574169948695	0.0015491875300704242	0.1965148097734698	0.0036954960438510998
01911124	0.04372239390198326	0.012804158505136842	0.3273409742384642	0.014169108405279142	-0.007671357454788288	0.019965304903862603	-0.04458522497421176	-0.12946527972532604	-0.03469981563734364	0.0920637280058958	-0.14929521722915695	9.687172300773563e-4	-0.01110187743593825	-0.02309134811536111	-0.015387022142408278	-0.06110714807706309	-0.1681331327764638	-0.015307238229108611	0.33691774603014707	7.49241966343453e-4	-0.0755832893665998	0.026475990411978765	-0.0039574451706591105	-0.025538265393682993	-0.011971082783282816	0.0014006483270730796	-0.059806404971315064	0.020881848125769348	-0.014925519344024116	-0.042393190037937005	-0.013120167889021699	0.04184058285735704	-0.18920446170444039	-0.024532588762851	-0.2656079310056836	0.6649756987459232	-0.026785107150196892	0.08795362505605911	-0.045127474414465414
01911364	0.11242531795341155	-0.024072924346858277	-0.041082973368010714	0.0018051434281857914	0.008434336146418009	-0.004451159076262548	0.14523450778979233	0.07024077313637123	0.12796161454483504	0.1865607766119617	0.16562934957471703	-0.04202532191806558	0.0021004691608674415	0.03433421824343704	0.34916329004249413	-0.029628923282912865	0.1680437422645287	0.12711878521482448	0.13588344557496246	-0.002234230110853835	0.042314030810464996	0.008577796890216963	0.0012613847360666989	-0.013047844522006488	-0.03088981720715054	-0.04272702486694756	-0.18085760944098173	0.007235797241503819	0.10168415008286782	0.04214349525688078	0.05085071605815797	0.1340832833507878	-0.057947608727764985	-0.016746002164764174	-0.3825558284877899	0.42532906156189343	0.013357600832448243	-0.010258025916925761	0.03672193800571877
01911370	0.0490533718149012	-0.005977001314535678	0.33616708432794895	0.013707441566981064	0.015305440194482585	-0.030277832403250254	0.27663140998841895	-0.07520092844849283	-0.01504974474345256	-0.10993897793609489	0.05399988870177757	-0.034365653862436535	-0.02562333372760232	-0.009628186421106244	-0.009111970841017301	-0.05645718738762944	-0.15609015397935533	-0.011539097445403946	0.47840101651262534	-0.008407651959749332	-0.014566075303980578	0.0069431604689610075	0.003492052268862455	-0.04772341030704207	-0.021739370526622264	-0.0232934718851084	-0.42111439543255286	0.020005178359860543	-0.007898328652640816	0.053138112288105034	0.009716355978495673	0.272074037593725	-0.11881533461945011	-0.02170511838991794	-0.3203592259296778	-0.2332162122435987	0.038811539211986525	0.3973038377603143	0.012012670897304635
01912726	0.02658563133741386	-0.02081869951803951	-0.23503677590906555	-0.007761547507364524	-0.01487134647177638	-0.020928679574648588	-0.09763717650038653	-0.07979111062189762	-0.005628779916374998	0.10847178557044809	-0.06124128821225142	-0.032884944217343795	-0.017084129092480013	0.018676892919548854	0.5723324016556256	-0.06366094881678533	-0.20840644253574248	-0.010379157186468755	0.6126554264424953	-0.012527694645608723	-0.033838050950243274	0.016857428343002433	-0.002169241294019535	0.08094031160839346	-0.011032023128087017	-0.006388753746548679	-0.12384216488922291	0.03667510614707392	0.011786423005635002	0.024763187724991222	0.012393960287259335	-0.1496263820527927	-0.07800860798402433	0.0039085293855719355	0.13895488917356363	-0.22600562143074657	-0.011302813105523975	1.653593563035599e-4	-0.05728164286888874
01914451	-0.030049938687392308	0.0069252341841049055	0.07297765085780922	0.06026181603574308	0.010882855748119133	-0.009485535377277152	0.5643734619344191	0.2876365222076324	-0.06756830560443834	-0.056947785052998	-0.13866436491395004	-0.027869125109329655	-6.866849310553111e-4	-0.0609311400034345	-0.3849420048665092	-0.06027687833789592	-0.17463408513462034	0.007959105371249149	0.05385598616712828	0.014898854927204011	-0.05382641486364728	5.1082711237956e-4	-0.0029076436854247973	-0.0018628672426196384	-0.03219278487369797	0.003503485462837286	-0.06833101841165756	0.06029012329218133	0.04581540688166017	0.011285315423980317	-0.03666867233220793	-0.0693140222430431	-0.12061677959450039	-0.025192214784301687	-0.09507988137938651	-0.1198602753831586	-0.0316384085729757	-0.3168454158667101	-0.0035628924344345727
01916479	-0.045386416527461004	-0.04120294899562384	-0.2990119770109654	-0.004344369666429248	-0.00346266117710659	-0.0035221384964502153	-0.12224814482971069	-0.0994306119822704	0.11384577272252419	-0.022545475615570746	0.05517973660297731	0.03716594211403612	0.0724124789346136	0.01210365216088168	-0.14823127144877996	-0.06303911830349965	0.6496795234331952	0.05102816074014473	-0.5402748422483066	-0.0086455628222846	-0.04283882999770089	0.01070012401428421	-0.0013327624326975583	0.011862750834702751	-0.0048358647432458395	-0.030176019356927028	-0.12219143378559902	-0.007462838480734913	-0.019053091455261673	-4.4119225906004227e-4	0.011280297276051865	-0.10527984393627858	-0.1920209658577693	0.05269513112086148	0.4813480986561005	0.8477411726843658	0.002681978439992393	0.022154511790544763	0.0031391007457800854
01917198	0.022570294211366537	-0.027036862902018236	0.5850828145288092	0.013057350273444688	-0.01883652192943765	-0.003018232185716052	0.22777129363395288	-0.1286040830196991	0.028024787710052648	0.002079615495074898	0.25675297427141724	-0.018719342371386002	0.021257695702761308	0.028700976046085295	0.042214210678350225	1.0221120976258053	-0.15361301368065636	-0.014616247728694298	-0.08398603283879852	-0.0029620022432588714	-0.006124526381912951	-0.006686790161793424	0.009324076036389083	0.011626988971064567	-0.01816718411650498	0.008912064117602349	-0.07492938836442627	-0.04226081292450171	-0.07600365911433268	0.06447211828916252	0.04017561273387452	0.15412617535307016	-0.14771704187682577	0.04667782038516803	0.2061731162450429	-0.40449131413038897	-0.0038370126251137445	-0.08476453136311472	-0.025909594835772487
01917395	-0.019341753366951618	0.0057282173080869265	1.1420457527378176	-0.00284281822623411	-0.014311661303973301	-0.02973751445712819	0.2822070163490994	-0.10298748104715377	-0.09290884847853917	-0.08212120510429372	0.04159745975534418	-0.017054893901241073	-0.006171325689972091	0.09685847491419416	0.6875992428128461	-0.06411274233535173	-0.18297175562771706	-0.022560774305321156	0.9078168791648255	-0.0030704972135879587	0.016621318228901345	-0.027910137378638608	0.001281495310444052	0.03157339019438289	-0.01608134364251513	-0.01609754749113969	0.21917215936380238	-0.003322449487414207	0.025053165114211375	0.04047140861851713	0.026233843107931486	-0.025466536776465327	0.03563367810596276	-0.003761215234720918	-0.132236860516818	-0.167201146460335	-0.02595608184947289	0.034433647050870014	-0.06942861393022087
